Caso,Algoritmo,Pistas,Seed_Iteraciones,Estado,Costo,Tiempo_s
case1.txt,Greedy Deterministic,1,N/A,VALID,4520.00,0.0000
case1.txt,Greedy Deterministic,2,N/A,VALID,6690.00,0.0000
case1.txt,HC from Deterministic,1,N/A,VALID,3550.00,0.0030
case1.txt,HC from Deterministic,2,N/A,VALID,3550.00,0.0115
case1.txt,Greedy Stochastic,1,0,VALID,8560.00,0.0000
case1.txt,Greedy Stochastic,1,1,VALID,7350.00,0.0000
case1.txt,Greedy Stochastic,1,2,VALID,10350.00,0.0000
case1.txt,Greedy Stochastic,1,3,VALID,8920.00,0.0000
case1.txt,Greedy Stochastic,1,4,VALID,7550.00,0.0000
case1.txt,Greedy Stochastic,1,5,VALID,8250.00,0.0000
case1.txt,Greedy Stochastic,1,6,VALID,10180.00,0.0000
case1.txt,Greedy Stochastic,1,7,VALID,9360.00,0.0000
case1.txt,Greedy Stochastic,1,8,VALID,8450.00,0.0000
case1.txt,Greedy Stochastic,1,9,VALID,10580.00,0.0000
case1.txt,Greedy Stochastic,2,0,VALID,8560.00,0.0000
case1.txt,Greedy Stochastic,2,1,VALID,7350.00,0.0000
case1.txt,Greedy Stochastic,2,2,VALID,10350.00,0.0000
case1.txt,Greedy Stochastic,2,3,VALID,8920.00,0.0000
case1.txt,Greedy Stochastic,2,4,VALID,7550.00,0.0000
case1.txt,Greedy Stochastic,2,5,VALID,8250.00,0.0000
case1.txt,Greedy Stochastic,2,6,VALID,10180.00,0.0000
case1.txt,Greedy Stochastic,2,7,VALID,9360.00,0.0000
case1.txt,Greedy Stochastic,2,8,VALID,8450.00,0.0000
case1.txt,Greedy Stochastic,2,9,VALID,10580.00,0.0000
case1.txt,GRASP Stochastic,1,5,VALID,3550.00,0.0352
case1.txt,GRASP Stochastic,2,5,VALID,3550.00,0.1046
case1.txt,GRASP Stochastic,1,15,VALID,3550.00,0.1117
case1.txt,GRASP Stochastic,2,15,VALID,3550.00,0.3830
case1.txt,GRASP Stochastic,1,30,VALID,3550.00,0.2462
case1.txt,GRASP Stochastic,2,30,VALID,3550.00,0.7645
case2.txt,Greedy Deterministic,1,N/A,VALID,6990.00,0.0000
case2.txt,Greedy Deterministic,2,N/A,VALID,9550.00,0.0000
case2.txt,HC from Deterministic,1,N/A,VALID,4240.00,0.0230
case2.txt,HC from Deterministic,2,N/A,VALID,4240.00,0.0940
case2.txt,Greedy Stochastic,1,0,VALID,9410.00,0.0000
