Caso,Algoritmo,Pistas,Parametros,Estado,Costo,Tiempo_s
case1.txt,Greedy Deterministic,1,N/A,VALID,4520.00,0.0000
case1.txt,Greedy Deterministic,2,N/A,VALID,6690.00,0.0000
case1.txt,HC from Deterministic,1,N/A,VALID,3550.00,0.0030
case1.txt,HC from Deterministic,2,N/A,VALID,3550.00,0.0101
case1.txt,Greedy Stochastic,1,0,VALID,8560.00,0.0000
case1.txt,Greedy Stochastic,2,0,VALID,8560.00,0.0000
case1.txt,Greedy Stochastic,1,1,VALID,7350.00,0.0000
case1.txt,Greedy Stochastic,2,1,VALID,7350.00,0.0000
case1.txt,Greedy Stochastic,1,2,VALID,10350.00,0.0000
case1.txt,Greedy Stochastic,2,2,VALID,10350.00,0.0000
case1.txt,Greedy Stochastic,1,3,VALID,8920.00,0.0000
case1.txt,Greedy Stochastic,2,3,VALID,8920.00,0.0000
case1.txt,Greedy Stochastic,1,4,VALID,7550.00,0.0000
case1.txt,Greedy Stochastic,2,4,VALID,7550.00,0.0000
case1.txt,Greedy Stochastic,1,5,VALID,8250.00,0.0000
case1.txt,Greedy Stochastic,2,5,VALID,8250.00,0.0000
case1.txt,Greedy Stochastic,1,6,VALID,10180.00,0.0000
case1.txt,Greedy Stochastic,2,6,VALID,10180.00,0.0000
case1.txt,Greedy Stochastic,1,7,VALID,9360.00,0.0000
case1.txt,Greedy Stochastic,2,7,VALID,9360.00,0.0000
case1.txt,Greedy Stochastic,1,8,VALID,8450.00,0.0000
case1.txt,Greedy Stochastic,2,8,VALID,8450.00,0.0000
case1.txt,Greedy Stochastic,1,9,VALID,10580.00,0.0000
case1.txt,Greedy Stochastic,2,9,VALID,10580.00,0.0000
case1.txt,GRASP Stochastic,1,10,VALID,3550.00,0.0650
case1.txt,GRASP Stochastic,2,10,VALID,3550.00,0.2507
case1.txt,GRASP Stochastic,1,25,VALID,3550.00,0.1804
case1.txt,GRASP Stochastic,2,25,VALID,3550.00,0.6567
case1.txt,GRASP Stochastic,1,50,VALID,3550.00,0.3816
case1.txt,GRASP Stochastic,2,50,VALID,3550.00,1.3082
case1.txt,SA from Det,1,T=10000,VALID,3550.00,0.2210
case1.txt,SA from Det,2,T=10000,VALID,3550.00,0.6235
case1.txt,SA from Best Stoch,1,T=10000,VALID,3550.00,0.2150
case1.txt,SA from Best Stoch,2,T=10000,VALID,3550.00,0.6234
case1.txt,SA from Det,1,T=5000,VALID,3550.00,0.1984
