NombreCaso,Algoritmo,NumPistas,SemillaGE,CostoTotalSolucion,TiempoComputacional_seg,OrdenAterrizajeIDs,AvionesNoProgramados
case1.txt,GD,1,N/A,2030.00,0.0001,2-3-4-5-7-6-8-9-0-13-12-1-11-10-14,
case1.txt,GD,2,N/A,210.00,0.0001,2-3-4-5-7-6-8-9-0-13-12-1-11-10-14,
case1.txt,GE,1,0,8560.00,0.0002,3-4-2-7-8-6-9-0-13-12-11-5-14-1-10,
case1.txt,GE,1,1,7350.00,0.0002,2-5-3-7-4-8-9-0-12-13-6-1-10-11-14,
case1.txt,GE,1,2,10350.00,0.0003,2-3-4-7-5-9-0-8-13-1-6-10-12-11-14,
case1.txt,GE,1,3,8920.00,0.0001,2-5-7-3-6-9-8-13-12-4-11-0-10-14-1,
case1.txt,GE,1,4,7550.00,0.0001,2-4-3-6-7-8-5-9-0-13-1-10-11-12-14,
case1.txt,GE,1,5,8250.00,0.0001,4-3-7-5-8-9-0-13-2-12-6-10-1-11-14,
case1.txt,GE,1,6,10180.00,0.0001,4-2-5-7-3-6-8-13-12-0-11-1-10-9-14,
case1.txt,GE,1,7,9360.00,0.0001,3-2-5-6-4-7-0-8-13-1-9-10-12-11-14,
case1.txt,GE,1,8,8450.00,0.0001,2-4-5-3-7-9-6-8-0-13-11-12-10-1-14,
case1.txt,GE,1,9,10580.00,0.0001,3-5-4-7-2-6-0-8-13-1-12-10-9-14-11,
case1.txt,GE,2,0,6820.00,0.0002,2-3-5-7-6-8-0-9-4-13-12-11-1-10-14,
case1.txt,GE,2,1,6960.00,0.0002,2-4-5-7-6-3-8-9-13-12-11-1-0-10-14,
case1.txt,GE,2,2,9160.00,0.0002,2-3-5-6-8-7-0-9-13-12-1-4-11-10-14,
case1.txt,GE,2,3,8020.00,0.0002,2-4-7-6-3-8-5-0-13-12-1-9-11-10-14,
case1.txt,GE,2,4,5570.00,0.0002,2-3-5-7-4-6-8-9-0-13-12-11-1-10-14,
case1.txt,GE,2,5,6970.00,0.0002,4-5-3-6-8-7-2-9-0-12-13-1-11-10-14,
case1.txt,GE,2,6,6750.00,0.0002,3-4-5-2-7-6-0-9-8-13-12-1-11-10-14,
case1.txt,GE,2,7,7300.00,0.0002,2-3-4-6-7-0-9-5-8-13-12-1-11-10-14,
case1.txt,GE,2,8,7710.00,0.0002,2-3-4-5-6-7-8-0-13-12-1-9-11-10-14,
case1.txt,GE,2,9,7390.00,0.0002,3-2-4-6-7-0-9-5-13-8-12-1-11-10-14,
case2.txt,GD,1,N/A,2870.00,0.0001,0-5-7-3-11-9-8-10-2-18-19-1-6-14-4-17-13-12-16-15,
case2.txt,GD,2,N/A,60.00,0.0001,0-5-7-3-11-9-8-10-2-18-19-1-6-14-4-17-13-12-16-15,
case2.txt,GE,1,0,9410.00,0.0002,5-7-0-11-8-9-10-2-18-19-6-3-4-1-17-14-13-15-16-12,
case2.txt,GE,1,1,8180.00,0.0002,0-3-5-11-7-8-10-2-19-18-9-1-14-6-17-13-16-4-15-12,
case2.txt,GE,1,2,11380.00,0.0002,0-5-7-11-3-10-2-8-18-1-9-14-19-17-13-6-12-15-16-4,
case2.txt,GE,1,3,9040.00,0.0002,0-3-11-5-9-10-8-18-19-7-6-2-14-4-13-1-17-15-16-12,
case2.txt,GE,1,4,8040.00,0.0002,0-7-5-9-11-8-3-10-2-18-1-14-6-19-4-12-16-13-15-17,
case2.txt,GE,1,5,10630.00,0.0002,7-5-11-3-8-10-2-18-0-19-9-14-1-6-4-13-12-17-15-16,
case2.txt,GE,1,6,9150.00,0.0002,7-0-3-11-5-9-8-18-19-2-6-1-14-10-17-13-4-15-16-12,
case2.txt,GE,1,7,11390.00,0.0002,5-0-3-9-7-11-2-8-18-1-10-14-19-6-4-13-12-17-16-15,
case2.txt,GE,1,8,9480.00,0.0002,0-7-3-5-11-10-9-8-2-18-6-19-14-17-1-13-12-16-15-4,
case2.txt,GE,1,9,11960.00,0.0002,5-3-7-11-0-9-2-8-18-1-19-14-10-4-13-12-16-6-15-17,
case2.txt,GE,2,0,8740.00,0.0002,0-5-3-11-9-8-7-2-18-19-10-1-4-14-6-17-16-12-13-15,
case2.txt,GE,2,1,10270.00,0.0002,0-7-3-11-8-9-5-10-18-19-1-4-6-14-17-13-2-12-16-15,
case2.txt,GE,2,2,11670.00,0.0002,0-5-7-11-9-10-2-3-18-19-6-4-1-14-8-17-13-12-16-15,
case2.txt,GE,2,3,9230.00,0.0002,0-7-11-9-5-8-10-3-18-19-1-6-14-2-17-12-16-4-13-15,
case2.txt,GE,2,4,8580.00,0.0002,0-5-3-7-11-8-9-10-2-19-1-18-6-14-17-4-13-12-16-15,
case2.txt,GE,2,5,9140.00,0.0003,7-3-5-11-9-0-8-2-10-18-19-1-6-14-17-13-4-12-16-15,
case2.txt,GE,2,6,10400.00,0.0002,5-7-3-0-11-10-2-8-18-9-1-6-4-19-17-12-13-14-16-15,
case2.txt,GE,2,7,8990.00,0.0002,5-7-0-11-8-3-9-10-2-18-1-19-6-4-14-17-12-16-13-15,
case2.txt,GE,2,8,11010.00,0.0002,0-5-7-3-11-9-8-2-18-10-1-6-4-14-17-13-19-12-16-15,
